,symbol,name,isin,sector,industry,country,exchange
350,EURS,FONCIERE EURIS,FR0000061475,,,,Euronext Paris
351,EVGBC,,INE554H01021,,,,
352,EVS,EVS BROADC.EQUIPM.,BE0003820371,,,,Euronext Brussels
353,EVSTC,,US27830G6089,,,,
354,EWI,,US46434G8309,,,,
355,EWZS,,US4642891315,,,,
356,EXPN,,FR0004177046,,,,
357,EZJ,,US74347X7084,,,,
358,FAAR,,US33740Y1010,,,,
359,FAB,,US33733C1080,,,,
360,FAD,,US33733F1012,,,,
361,FAGR,FAGRON,SE0010048884,,,,Euronext Brussels
362,FALN,,US46435G4745,,,,
363,FAN,,US33736G1067,,,,
364,FATL,FONCIERE ATLAND,DE0005939615,,,,Euronext Paris
365,FAUV,FAUVET GIREL,FR0000063034,,,,Euronext Paris
366,FAYE,FAYENC.SARREGUEMI.,BG11FASIAT18,,,,Euronext Paris
367,FBZ,,US33737J1337,,,,
368,FCA,,US33737J1410,,,,
369,FCEF,,US33740F4090,,,,
370,FCMC,FERM.CAS.MUN.CANNE,FR0000062101,,,,Euronext Paris
371,FCP,FUT.CLUBE PORTO,PTFCP0AM0008,,,,Euronext Lisbon
372,FCVT,,US33739Q5071,,,,
373,FDIV,,US33739Q3092,,,,
374,FDM,,US33718M1053,,,,
375,FDT,,US33737J1741,,,,
376,FDTS,,CA04315L7097,,,,
377,FEM,,US33737J1824,,,,
378,FEP,,US33737J1170,,,,
379,FEUZ,,US33737J5056,,,,
380,FEX,,US33734K1097,,,,
381,FEXD,,JP3802830004,,,,
382,FEXDR,,JP3802830004,,,,
383,FEXDU,,US3181362076,,,,
384,FFIEW,,IT0005023038,,,,
385,FGA,FIGEAC AERO,CNE1000025D1,,,,Euronext Paris
386,FGM,,US33737J1907,,,,
387,FGP,,INE512A01016,,,,
388,FGR,EIFFAGE,EGS385S1C012,,,,Euronext Paris
389,FGT,,JP3166940001,,,,
390,FII,LISI,IT0001498481,,,,Euronext Paris
391,FINMW,,BG1100006979,,,,
392,FINX,,US37954Y8140,,,,
393,FIPP,FIPP,FR0000038184,,,,Euronext Paris
394,FIXD,,US33740F8059,,,,
395,FJP,,US33737J1584,,,,
396,FLACW,,INE563J01010,,,,
397,FLEXD,FLEXDEAL,PTFXD0AM0018,,,,Euronext Lisbon
398,FLN,,US33737J1253,,,,
399,FLOB,FLORIDIENNE,JP3829300007,,,,Euronext Brussels
400,FLTR,FLUTTER ENTERTAIN,US92189F4862,,,,Euronext Dublin
401,FLY,FONCIERE LYONNAISE,JP3549370009,,,,Euronext Paris
402,FLYR,FLYR,NO0010931900,,,,Euronext Growth Oslo
403,FMB,,US33739N1081,,,,
404,FNAC,FNAC DARTY,CA0324721020,,,,Euronext Paris
405,FNK,,US33737M2017,,,,
406,FNX,,US33735B1089,,,,
407,FNY,,US33737M1027,,,,
408,FORSE,FORSEE POWER,FR0014005SB3,,,,Euronext Paris
409,FOU,FOUNTAIN,BE0003752665,,,,Euronext Brussels
410,FOXWW,,INE735G01010,,,,
411,FPA,,US33737J1097,,,,
412,FPG,UNION TECH.INFOR.,INE512A01016,,,,Euronext Paris
413,FPXI,,US33734X8535,,,,
414,FRAS,,INE184Q01010,,,,
415,FSSIW,,AU0000064552,,,,
416,FSZ,,US33737J2327,,,,
417,FTA,,US33735J1016,,,,
418,FTAG,,US33734X8121,,,,
419,FTC,,US33735K1088,,,,
420,FTCS,,US33733E1047,,,,
421,FTGC,,US33739H1014,,,,
422,FTHI,,US33738R3084,,,,
423,FTLB,,US33738R4074,,,,
424,FTRI,,US33734X8386,,,,
425,FTSL,,US33738D3098,,,,
426,FTSM,,US33739Q4082,,,,
427,FTXD,,US33738R8299,,,,
428,FTXG,,US33738R8521,,,,
429,FTXH,,US33738R8372,,,,
430,FTXL,,US33738R8117,,,,
431,FTXN,,US33738R8455,,,,
432,FTXO,,US33738R8604,,,,
433,FTXR,,US33738R7952,,,,
434,FV,,US33738R6053,,,,
435,FVC,,US33738R8786,,,,
436,FYC,,US33737M3007,,,,
437,FYT,,US33737M4096,,,,
438,FYX,,US33734Y1091,,,,
439,GABC,,US3738651047,,,,
440,GALP,GALP ENERGIA-NOM,NET000GALD01,,,,Euronext Lisbon
441,GAW,,INE076D01016,,,,
442,GBLB,GBL,INE791A01024,,,,Euronext Brussels
443,GEM,GREEN MINERALS,US3814302069,,,,Euronext Growth Oslo
444,GEN,,AT0000824701,,,,
445,GENK,GENK LOGIST. CERT,BE0003740546,,,,Euronext Brussels
446,GENY,,US74255Y5087,,,,
447,GFC,GECINA,DE0005800601,,,,Euronext Paris
448,GID,EGIDE,FR0000072373,,,,Euronext Paris
449,GIMB,GIMV,BE0003699130,,,,Euronext Brussels
450,GLDI,,US22542D4806,,,,
451,GLEN,,AU000000GC18,,,,
452,GLINT,GLINTT,PTPAD0AM0007,,,,Euronext Lisbon
453,GLSPT,,KYG3934K1031,,,,
454,GMBTW,,KYG7315B1115,,,,
455,GNC,,US36191G1076,,,,
456,GNMA,,US46429B3336,,,,
457,GNP,GNP ENERGY,NO0010886013,,,,Euronext Growth Oslo
458,GOE,GROUPE GORGE,INE516K01024,,,,Euronext Paris
459,GOODO,,US3765368846,,,,
460,GPA,IMOB.C GRAO PARA,FR0000053415,,,,Euronext Lisbon
461,GPACW,,CA7019051019,,,,
462,GPCOR,,EGS32161C019,,,,
463,GPE,GPE GROUP PIZZORNO,FR0010214064,,,,Euronext Paris
464,GREEL,,RU000A0JNMZ0,,,,
465,GREEN,GREENYARD,JE00BYTQ7945,,,,Euronext Brussels
466,GREV,MUSEE GREVIN,FR0000037970,,,,Euronext Paris
467,GRG,,CH0000UGG123,,,,
468,GRID,,US33737A1088,,,,
469,GRW,MOLTEN VENTURES,GB00BY7QYJ50,,,,Euronext Dublin
470,GTT,GTT,IT0001029492,,,,Euronext Paris
471,GV,GENOMIC VISION,IT0005411209,,,,Euronext Paris
472,GVR,GLENVEAGH PROP.PLC,DE000A0Z26C8,,,,Euronext Dublin
473,HAACW,,SA121053VV10,,,,
474,HAMO,HAMON,BE0974352842,,,,Euronext Brussels
475,HAV,HAV GROUP,NO0010931918,,,,Euronext Growth Oslo
476,HCICW,,EGS69261C013,,,,
477,HCIIW,,AU000000HGL2,,,,
